Team,Games Played,Goals Scored,GSPG,Goals Allowed,GAPG,Year,Conference
Philadelphia Flyers*,82,267,3.3,259,3.2,2006,East
New Jersey Devils*,82,242,3.0,229,2.8,2006,East
New York Rangers*,82,257,3.1,215,2.6,2006,East
New York Islanders,82,230,2.8,278,3.4,2006,East
Pittsburgh Penguins,82,244,3.0,316,3.9,2006,East
Ottawa Senators*,82,314,3.8,211,2.6,2006,East
Buffalo Sabres*,82,281,3.4,239,2.9,2006,East
Montreal Canadiens*,82,243,3.0,247,3.0,2006,East
Toronto Maple Leafs,82,257,3.1,270,3.3,2006,East
Boston Bruins,82,230,2.8,266,3.2,2006,East
Carolina Hurricanes*,82,294,3.6,260,3.2,2006,East
Tampa Bay Lightning*,82,252,3.1,260,3.2,2006,East
Atlanta Thrashers,82,281,3.4,275,3.4,2006,East
Florida Panthers,82,240,2.9,257,3.1,2006,East
Washington Capitals,82,237,2.9,306,3.7,2006,East
Detroit Red Wings*,82,305,3.7,209,2.5,2006,West
Nashville Predators*,82,259,3.2,227,2.8,2006,West
Columbus Blue Jackets,82,223,2.7,279,3.4,2006,West
Chicago Blackhawks,82,211,2.6,285,3.5,2006,West
St. Louis Blues,82,197,2.4,292,3.6,2006,West
Calgary Flames*,82,218,2.7,200,2.4,2006,West
Colorado Avalanche*,82,283,3.5,257,3.1,2006,West
Edmonton Oilers*,82,256,3.1,251,3.1,2006,West
Vancouver Canucks,82,256,3.1,255,3.1,2006,West
Minnesota Wild,82,231,2.8,215,2.6,2006,West
Dallas Stars*,82,265,3.2,218,2.7,2006,West
San Jose Sharks*,82,266,3.2,242,3.0,2006,West
Mighty Ducks of Anaheim*,82,254,3.1,229,2.8,2006,West
Los Angeles Kings,82,249,3.0,270,3.3,2006,West
Phoenix Coyotes,82,246,3.0,271,3.3,2006,West
New Jersey Devils*,82,216,2.6,201,2.5,2007,East
Pittsburgh Penguins*,82,277,3.4,246,3.0,2007,East
New York Rangers*,82,242,3.0,216,2.6,2007,East
New York Islanders*,82,248,3.0,240,2.9,2007,East
Philadelphia Flyers,82,214,2.6,303,3.7,2007,East
Buffalo Sabres*,82,308,3.8,242,3.0,2007,East
Ottawa Senators*,82,288,3.5,222,2.7,2007,East
Toronto Maple Leafs,82,258,3.1,269,3.3,2007,East
Montreal Canadiens,82,245,3.0,256,3.1,2007,East
Boston Bruins,82,219,2.7,289,3.5,2007,East
Atlanta Thrashers*,82,246,3.0,245,3.0,2007,East
Tampa Bay Lightning*,82,253,3.1,261,3.2,2007,East
Carolina Hurricanes,82,241,2.9,253,3.1,2007,East
Florida Panthers,82,247,3.0,257,3.1,2007,East
Washington Capitals,82,235,2.9,286,3.5,2007,East
Detroit Red Wings*,82,254,3.1,199,2.4,2007,West
Nashville Predators*,82,272,3.3,212,2.6,2007,West
St. Louis Blues,82,214,2.6,254,3.1,2007,West
Columbus Blue Jackets,82,201,2.5,249,3.0,2007,West
Chicago Blackhawks,82,201,2.5,258,3.1,2007,West
Vancouver Canucks*,82,222,2.7,201,2.5,2007,West
Minnesota Wild*,82,235,2.9,191,2.3,2007,West
Calgary Flames*,82,258,3.1,226,2.8,2007,West
Colorado Avalanche,82,272,3.3,251,3.1,2007,West
Edmonton Oilers,82,195,2.4,248,3.0,2007,West
Anaheim Ducks*,82,258,3.1,208,2.5,2007,West
San Jose Sharks*,82,258,3.1,199,2.4,2007,West
Dallas Stars*,82,226,2.8,197,2.4,2007,West
Los Angeles Kings,82,227,2.8,283,3.5,2007,West
Phoenix Coyotes,82,216,2.6,284,3.5,2007,West
