,Home Team,Away Team,Home Moneyline,Away Moneyline,Home Spread,Home Spread Odds,Away Spread,Away Spread Odds,Over/Under,Over Odds,Under Odds
0,Chiefs,Ravens,-155.0,130.0,-3.0,108.0,3.0,112.0,47.0,110.0,110.0
1,Eagles,Packers,-125.0,105.0,-1.5,112.0,1.5,108.0,48.5,110.0,110.0
2,Bears,Titans,-218.0,180.0,-4.5,110.0,4.5,110.0,43.5,110.0,110.0
3,Bengals,Patriots,-410.0,320.0,-9.0,110.0,9.0,110.0,43.0,110.0,110.0
4,Bills,Cardinals,-360.0,285.0,-7.0,110.0,7.0,110.0,48.0,110.0,110.0
5,Dolphins,Jaguars,-180.0,150.0,-3.5,110.0,3.5,110.0,49.0,110.0,110.0
6,Giants,Vikings,-112.0,-108.0,-1.0,105.0,1.0,115.0,41.5,110.0,110.0
7,Falcons,Steelers,-142.0,120.0,-2.5,110.0,2.5,110.0,43.0,108.0,112.0
8,Colts,Texans,102.0,-122.0,1.5,110.0,-1.5,110.0,48.0,110.0,110.0
9,Saints,Panthers,-205.0,170.0,-5.0,108.0,5.0,112.0,40.5,110.0,110.0
10,Seahawks,Broncos,-218.0,180.0,-4.5,110.0,4.5,110.0,42.5,110.0,110.0
11,Chargers,Raiders,-170.0,142.0,-3.0,120.0,3.0,100.0,43.5,110.0,110.0
12,Buccaneers,Commanders,-185.0,154.0,-3.5,110.0,3.5,110.0,41.5,110.0,110.0
13,Browns,Cowboys,-108.0,-112.0,-1.0,102.0,1.0,118.0,44.0,108.0,112.0
14,Lions,Rams,-192.0,160.0,-3.5,108.0,3.5,112.0,51.0,110.0,110.0
15,49ers,Jets,-250.0,205.0,-5.5,115.0,5.5,105.0,45.5,110.0,110.0
16,Dolphins,Bills,-115.0,-105.0,-1.0,110.0,1.0,110.0,51.0,110.0,110.0
17,Ravens,Raiders,-360.0,285.0,-7.5,110.0,7.5,110.0,44.5,110.0,110.0
18,Cowboys,Saints,-250.0,205.0,-6.0,110.0,6.0,110.0,44.5,110.0,110.0
19,Packers,Colts,-192.0,160.0,-4.0,108.0,4.0,112.0,47.0,108.0,112.0
20,Commanders,Giants,-135.0,114.0,-3.0,100.0,3.0,120.0,42.5,110.0,110.0
21,Titans,Jets,154.0,-185.0,4.0,110.0,-4.0,110.0,43.5,110.0,110.0
22,Vikings,49ers,210.0,-258.0,6.0,110.0,-6.0,110.0,46.5,110.0,110.0
23,Patriots,Seahawks,124.0,-148.0,2.5,100.0,-2.5,120.0,42.5,110.0,110.0
24,Jaguars,Browns,-115.0,-105.0,-1.0,110.0,1.0,110.0,45.0,110.0,110.0
25,Lions,Buccaneers,-265.0,215.0,-6.0,115.0,6.0,105.0,48.5,110.0,110.0
26,Panthers,Chargers,142.0,-170.0,3.0,100.0,-3.0,120.0,41.5,110.0,110.0
27,Cardinals,Rams,110.0,-130.0,2.5,110.0,-2.5,110.0,48.5,108.0,112.0
28,Broncos,Steelers,130.0,-155.0,3.0,108.0,-3.0,112.0,41.5,110.0,110.0
29,Chiefs,Bengals,-192.0,160.0,-4.0,110.0,4.0,110.0,49.0,110.0,110.0
30,Texans,Bears,-180.0,150.0,-3.5,110.0,3.5,110.0,47.0,110.0,110.0
31,Eagles,Falcons,-166.0,140.0,-3.5,105.0,3.5,115.0,48.5,110.0,110.0
32,Jets,Patriots,-345.0,275.0,-7.5,110.0,7.5,110.0,42.0,110.0,110.0
33,Colts,Bears,-130.0,110.0,-2.0,110.0,2.0,110.0,47.0,108.0,112.0
34,Steelers,Chargers,-125.0,105.0,-2.0,110.0,2.0,110.0,42.5,108.0,112.0
35,Buccaneers,Broncos,-175.0,145.0,-3.5,110.0,3.5,110.0,43.0,110.0,110.0
36,Browns,Giants,-265.0,215.0,-6.5,108.0,6.5,112.0,42.5,108.0,112.0
37,Titans,Packers,154.0,-185.0,3.5,110.0,-3.5,110.0,44.0,110.0,110.0
